353624 476677
0 229498 131
1 247007 115
2 112717 45
2 348395 137
3 299354 111
3 303435 49
3 303669 134
4 341742 38
5 177253 104
5 210019 4
6 174866 122
6 258821 160
7 152376 62
8 224061 43
9 184992 138
10 34708 168
10 258198 19
11 55431 28
11 82340 120
11 320957 63
12 267071 149
12 281599 26
13 18820 20
13 49053 14
14 67147 149
14 298173 41
14 341833 178
15 93004 86
15 312227 115
16 119845 148
16 176884 32
17 146287 36
18 285348 49
18 305492 75
18 315003 34
19 226080 148
19 286271 79
19 287737 28
23 247067 53
24 17749 20
24 140512 183
24 318298 129
25 73963 105
25 206072 26
28 77730 71
28 310029 179
29 94599 50
31 132769 58
31 156808 44
32 324547 166
34 343681 115
35 255336 59
36 91501 76
36 351845 89
37 22309 100
38 162719 65
38 220811 21
38 347965 51
39 44898 117
39 52083 130
39 183841 185
39 331270 3
40 225878 161
41 8273 183
43 187561 47
46 342301 192
47 161784 38
47 245216 200
47 256179 103
47 272070 182
48 147470 117
48 218576 124
49 172336 168
50 195963 21
50 255005 153
52 192634 198
53 302033 56
54 256082 173
54 287492 101
54 323107 67
55 57107 187
55 78758 2
55 236799 6
56 242643 189
58 59876 53
59 256334 159
59 346586 90
60 259301 14
60 298309 68
60 307517 123
61 13452 60
61 67050 76
62 269853 77
63 47176 112
63 248354 36
64 162356 144
64 306619 183
65 197373 186
66 287461 114
66 300413 143
68 324103 122
68 350145 164
69 202194 83
69 234891 89
69 321640 60
72 33151 103
73 70694 28
75 49010 14
75 323882 105
77 62088 31
79 345172 69
80 12498 71
80 203160 159
80 231370 121
81 86103 190
81 106013 33
81 343157 175
82 220718 43
83 110784 123
84 98046 158
85 74283 141
86 38827 106
87 227343 185
87 243234 24
88 111036 151
88 318759 107
89 331134 17
92 91694 53
92 223865 142
92 324867 74
93 26170 198
95 66790 17
96 273936 85
97 325711 35
98 149798 63
98 199253 56
98 253367 145
99 94914 133
100 200507 24
100 234794 8
101 79369 179
102 78193 39
102 146546 130
103 51326 62
103 230667 18
106 286993 144
107 11771 145
108 241910 103
108 338817 53
109 255324 5
110 104579 106
110 270266 51
111 45662 82
111 244335 182
114 94982 110
114 244441 159
117 349334 54
118 133952 70
118 206813 175
120 281045 173
121 111381 172
121 165041 115
123 120591 175
123 268770 138
124 241091 127
124 337124 28
125 336423 181
126 216840 74
126 333031 154
127 2986 198
127 67898 128
128 161379 131
129 238363 142
132 8606 123
132 55735 92
132 151355 29
132 221236 195
132 339767 179
133 67112 111
133 280967 167
133 332397 123
134 37155 183
134 47127 185
134 99624 41
134 326431 20
134 330870 20
137 37832 118
137 50144 102
137 129846 81
138 2679 50
